date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:20:37	1337/1337	---MCZ	404	error ('Not%20Found')	text/html	etag:1704303633-ssl-df	https://bphtreatment.netlify.app/robots.txt		(from )
14:20:37	56781/56781	---MCZ	200	added ('OK')	text/html	etag:%2284a032ba8506c963a6694f41894eb2b4-ssl-df%22	https://bphtreatment.netlify.app/?gad_source=1&gad_campaignid=22545665032&gclid=EAIaIQobChMIyZzErcXJjQMV04BQBh0LCQXEEAMYAiAAEgICd_D_BwE	C:/My%20Web%20Sites/FIBORCURE%20NEWBIE/bphtreatment.netlify.app/indexd417.html	(from )
14:20:38	232948/232948	---M-Z	200	added ('OK')	text/css	etag:W/%2238df4-HxOZgbm0enZu+gphu3ito1HxbEs%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/FIBORCURE%20NEWBIE/cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/css/bootstrap.min.css	(from https://bphtreatment.netlify.app/?gad_source=1&gad_campaignid=22545665032&gclid=EAIaIQobChMIyZzErcXJjQMV04BQBh0LCQXEEAMYAiAAEgICd_D_BwE)
14:20:39	89220/89220	---M-Z	200	added ('OK')	text/css	etag:%22620188b3-468e%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0/css/all.min.css	C:/My%20Web%20Sites/FIBORCURE%20NEWBIE/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0/css/all.min.css	(from https://bphtreatment.netlify.app/?gad_source=1&gad_campaignid=22545665032&gclid=EAIaIQobChMIyZzErcXJjQMV04BQBh0LCQXEEAMYAiAAEgICd_D_BwE)
14:20:40	6262/6262	---MCZ	200	added ('OK')	text/css	etag:%22c0da39ae915533cb79625a146511b8d5-ssl-df%22	https://bphtreatment.netlify.app/style.css	C:/My%20Web%20Sites/FIBORCURE%20NEWBIE/bphtreatment.netlify.app/style.css	(from https://bphtreatment.netlify.app/?gad_source=1&gad_campaignid=22545665032&gclid=EAIaIQobChMIyZzErcXJjQMV04BQBh0LCQXEEAMYAiAAEgICd_D_BwE)
14:20:40	34429/34429	---M--	200	added ('OK')	image/jpeg	etag:%22ac4052295416e8205b55078d41885cdf-ssl%22	https://bphtreatment.netlify.app/img/catheter.jpg	C:/My%20Web%20Sites/FIBORCURE%20NEWBIE/bphtreatment.netlify.app/img/catheter.jpg	(from https://bphtreatment.netlify.app/?gad_source=1&gad_campaignid=22545665032&gclid=EAIaIQobChMIyZzErcXJjQMV04BQBh0LCQXEEAMYAiAAEgICd_D_BwE)
14:20:42	63575/63575	---M--	200	added ('OK')	image/jpeg	etag:%223870f516ce749859f2386ec7ebd3d7c2-ssl%22	https://bphtreatment.netlify.app/img/prowel.jpg	C:/My%20Web%20Sites/FIBORCURE%20NEWBIE/bphtreatment.netlify.app/img/prowel.jpg	(from https://bphtreatment.netlify.app/?gad_source=1&gad_campaignid=22545665032&gclid=EAIaIQobChMIyZzErcXJjQMV04BQBh0LCQXEEAMYAiAAEgICd_D_BwE)
14:20:42	33102/33102	---M--	200	added ('OK')	image/jpeg	etag:%22cf9c40f71c546e7a3608e850782d369f-ssl%22	https://bphtreatment.netlify.app/img/fib.jpg	C:/My%20Web%20Sites/FIBORCURE%20NEWBIE/bphtreatment.netlify.app/img/fib.jpg	(from https://bphtreatment.netlify.app/?gad_source=1&gad_campaignid=22545665032&gclid=EAIaIQobChMIyZzErcXJjQMV04BQBh0LCQXEEAMYAiAAEgICd_D_BwE)
14:20:43	3449/3449	---MCZ	404	error ('Not%20Found')	text/html	etag:1704303633-ssl-df	https://bphtreatment.netlify.app/dr.jpg	C:/My%20Web%20Sites/FIBORCURE%20NEWBIE/bphtreatment.netlify.app/dr.6.delayed	(from https://bphtreatment.netlify.app/?gad_source=1&gad_campaignid=22545665032&gclid=EAIaIQobChMIyZzErcXJjQMV04BQBh0LCQXEEAMYAiAAEgICd_D_BwE)
14:20:44	80663/80663	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213b17-9/0PPchLLPk7+B6DJQWmc/NU4KM%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/FIBORCURE%20NEWBIE/cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/js/bootstrap.bundle.min.js	(from https://bphtreatment.netlify.app/?gad_source=1&gad_campaignid=22545665032&gclid=EAIaIQobChMIyZzErcXJjQMV04BQBh0LCQXEEAMYAiAAEgICd_D_BwE)
